score,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed
5,"Tolong diperbaiki lagi karena nulis pengalaman kalo Wiraswasta, tidak bisa ditulis nama perusahaan pribadi, dan di bagian lisensi kalo nulis Mini Bootcamp tidak ada, selain itu tidak bisa upload bukti Sertifikat di bagian Lisensi, tolong diperbaiki lagi supaya bisa pilih lebih dari satu bidang yang diinginkan.",tolong diperbaiki lagi karena nulis pengalaman kalo wiraswasta tidak bisa ditulis nama perusahaan pribadi dan di bagian lisensi kalo nulis mini bootcamp tidak ada selain itu tidak bisa upload bukti sertifikat di bagian lisensi tolong diperbaiki lagi supaya bisa pilih lebih dari satu bidang yang diinginkan,tolong diperbaiki nulis pengalaman kalo wiraswasta ditulis nama perusahaan pribadi lisensi kalo nulis mini bootcamp upload bukti sertifikat lisensi tolong diperbaiki pilih bidang,"['tolong', 'diperbaiki', 'nulis', 'pengalaman', 'kalo', 'wiraswasta', 'ditulis', 'nama', 'perusahaan', 'pribadi', 'lisensi', 'kalo', 'nulis', 'mini', 'bootcamp', 'upload', 'bukti', 'sertifikat', 'lisensi', 'tolong', 'diperbaiki', 'pilih', 'bidang']",tolong baik nulis alam kalo wiraswasta tulis nama usaha pribadi lisensi kalo nulis mini bootcamp upload bukti sertifikat lisensi tolong baik pilih bidang
3,Kolom pencarian tidak berfungsi. Terutama kolom pencarian kota. Yang dicari kota apa keluarnya kota apa wkwk,kolom pencarian tidak berfungsi terutama kolom pencarian kota yang dicari kota apa keluarnya kota apa wkwk,kolom pencarian berfungsi kolom pencarian kota dicari kota keluarnya kota wkwk,"['kolom', 'pencarian', 'berfungsi', 'kolom', 'pencarian', 'kota', 'dicari', 'kota', 'keluarnya', 'kota', 'wkwk']",kolom cari fungsi kolom cari kota cari kota keluar kota wkwk
4,Ga bisa daftar loading nya lama kenapa ya,ga bisa daftar loading nya lama kenapa ya,ga daftar loading nya ya,"['ga', 'daftar', 'loading', 'nya', 'ya']",ga daftar loading nya ya
1,Saya mau melamar pekerjaan langsung tolak di aplikasi Jobstreet dan perusahaan tdk panggil saya lewat Nomor WA saya melalui Aplikasi JobStreet.,saya mau melamar pekerjaan langsung tolak di aplikasi jobstreet dan perusahaan tdk panggil saya lewat nomor wa saya melalui aplikasi jobstreet,melamar pekerjaan langsung tolak aplikasi jobstreet perusahaan tdk panggil nomor wa aplikasi jobstreet,"['melamar', 'pekerjaan', 'langsung', 'tolak', 'aplikasi', 'jobstreet', 'perusahaan', 'tdk', 'panggil', 'nomor', 'wa', 'aplikasi', 'jobstreet']",lamar kerja langsung tolak aplikasi jobstreet usaha tdk panggil nomor wa aplikasi jobstreet
4,Gajelas bgt masa ke logout sndri trs gabisa login lagi aneh,gajelas bgt masa ke logout sndri trs gabisa login lagi aneh,gajelas bgt logout sndri trs gabisa login aneh,"['gajelas', 'bgt', 'logout', 'sndri', 'trs', 'gabisa', 'login', 'aneh']",gajelas bgt logout sndri trs gabisa login aneh
1,"Saran saya hapus saja aplikasi kalian kalo login aja gagal terus, tidak berguna soalnya",saran saya hapus saja aplikasi kalian kalo login aja gagal terus tidak berguna soalnya,saran hapus aplikasi kalo login aja gagal berguna,"['saran', 'hapus', 'aplikasi', 'kalo', 'login', 'aja', 'gagal', 'berguna']",saran hapus aplikasi kalo login aja gagal guna
1,Susah di gunakan muter aja kerjanya kayak gk niat apk ini,susah di gunakan muter aja kerjanya kayak gk niat apk ini,susah muter aja kerjanya kayak gk niat apk,"['susah', 'muter', 'aja', 'kerjanya', 'kayak', 'gk', 'niat', 'apk']",susah muter aja kerja kayak gk niat apk
3,Susah mendapatkan panggilan sudah coba perbarui profil dan CV,susah mendapatkan panggilan sudah coba perbarui profil dan cv,susah panggilan coba perbarui profil cv,"['susah', 'panggilan', 'coba', 'perbarui', 'profil', 'cv']",susah panggil coba baru profil cv
1,"Gabisa masuk terus, alasannya jaringan internet, pdhal sinyal nya poll",gabisa masuk terus alasannya jaringan internet pdhal sinyal nya poll,gabisa masuk alasannya jaringan internet pdhal sinyal nya poll,"['gabisa', 'masuk', 'alasannya', 'jaringan', 'internet', 'pdhal', 'sinyal', 'nya', 'poll']",gabisa masuk alas jaring internet pdhal sinyal nya poll
1,parah aplikasi gabisa digunakan setiap mau log in skrng otomatis ke web mana lama banget ga satset kaya dulu. tolong kembalikan aplikasinya seperti dulu untuk memudahkan kita para pencari kerja. mksh,parah aplikasi gabisa digunakan setiap mau log in skrng otomatis ke web mana lama banget ga satset kaya dulu tolong kembalikan aplikasinya seperti dulu untuk memudahkan kita para pencari kerja mksh,parah aplikasi gabisa log in skrng otomatis web banget ga satset kaya tolong kembalikan aplikasinya memudahkan pencari kerja mksh,"['parah', 'aplikasi', 'gabisa', 'log', 'in', 'skrng', 'otomatis', 'web', 'banget', 'ga', 'satset', 'kaya', 'tolong', 'kembalikan', 'aplikasinya', 'memudahkan', 'pencari', 'kerja', 'mksh']",parah aplikasi gabisa log in skrng otomatis web banget ga satset kaya tolong kembali aplikasi mudah cari kerja mksh
3,Kok akunku gak bisa masuk yah min? Knpa,kok akunku gak bisa masuk yah min knpa,akunku gak masuk yah min knpa,"['akunku', 'gak', 'masuk', 'yah', 'min', 'knpa']",akun gak masuk yah min knpa
3,"ratingnya saya kurangi, ini kenapa setelah di update jadi tidak bisa masuk.. tolong segera ditindak lanjut karna saya sering sekali buka aplikasi ini utk melamar pekerjaan akhir-akhir ini lewat jobstreet slain lewat aplikasi linkedin",ratingnya saya kurangi ini kenapa setelah di update jadi tidak bisa masuk tolong segera ditindak lanjut karna saya sering sekali buka aplikasi ini utk melamar pekerjaan akhirakhir ini lewat jobstreet slain lewat aplikasi linkedin,ratingnya kurangi update masuk tolong ditindak karna buka aplikasi utk melamar pekerjaan akhirakhir jobstreet slain aplikasi linkedin,"['ratingnya', 'kurangi', 'update', 'masuk', 'tolong', 'ditindak', 'karna', 'buka', 'aplikasi', 'utk', 'melamar', 'pekerjaan', 'akhirakhir', 'jobstreet', 'slain', 'aplikasi', 'linkedin']",ratingnya kurang update masuk tolong tindak karna buka aplikasi utk lamar kerja akhirakhir jobstreet slain aplikasi linkedin
5,Lengkap dan Terpercaya,lengkap dan terpercaya,lengkap terpercaya,"['lengkap', 'terpercaya']",lengkap percaya
5,Good,good,good,['good'],good
3,"kenapa dah aplikasi jobstreet gabisa masuk, udah pake google chrome juga gabisa masuk",kenapa dah aplikasi jobstreet gabisa masuk udah pake google chrome juga gabisa masuk,dah aplikasi jobstreet gabisa masuk udah pake google chrome gabisa masuk,"['dah', 'aplikasi', 'jobstreet', 'gabisa', 'masuk', 'udah', 'pake', 'google', 'chrome', 'gabisa', 'masuk']",dah aplikasi jobstreet gabisa masuk udah pake google chrome gabisa masuk
3,"Tanya nich saya, knp bisa ada personal wa menawarkan kerjaan online yg itu kerja tipu2.. bagaimana bisa data saya diambil oleh personal?? Tdk ada keamanannya kah?? Atau mmg data dijual/disebar?",tanya nich saya knp bisa ada personal wa menawarkan kerjaan online yg itu kerja tipu2 bagaimana bisa data saya diambil oleh personal tdk ada keamanannya kah atau mmg data dijualdisebar,nich knp personal wa menawarkan kerjaan online yg kerja tipu2 data diambil personal tdk keamanannya kah mmg data dijualdisebar,"['nich', 'knp', 'personal', 'wa', 'menawarkan', 'kerjaan', 'online', 'yg', 'kerja', 'tipu2', 'data', 'diambil', 'personal', 'tdk', 'keamanannya', 'kah', 'mmg', 'data', 'dijualdisebar']",nich knp personal wa tawar kerja online yg kerja tipu2 data ambil personal tdk aman kah mmg data dijualdisebar
5,Baik dan mudah,baik dan mudah,mudah,['mudah'],mudah
5,jobsreet lebih di percaya,jobsreet lebih di percaya,jobsreet percaya,"['jobsreet', 'percaya']",jobsreet percaya
3,"Loading terus padahal kuota penuh, sinyal juga bagus.",loading terus padahal kuota penuh sinyal juga bagus,loading kuota penuh sinyal bagus,"['loading', 'kuota', 'penuh', 'sinyal', 'bagus']",loading kuota penuh sinyal bagus
3,Kok ngk bisa daftar,kok ngk bisa daftar,ngk daftar,"['ngk', 'daftar']",ngk daftar
4,"Udah beberapa bulan ini tidak bisa masuk hanya muter muter saja, padahal udah di perbaharui. Setelah beberapa bulan baru bisa masuk, padahal ndak di apa2 in...saya revisi rating ulasannya ya...",udah beberapa bulan ini tidak bisa masuk hanya muter muter saja padahal udah di perbaharui setelah beberapa bulan baru bisa masuk padahal ndak di apa2 insaya revisi rating ulasannya ya,udah masuk muter muter udah perbaharui masuk ndak apa2 insaya revisi rating ulasannya ya,"['udah', 'masuk', 'muter', 'muter', 'udah', 'perbaharui', 'masuk', 'ndak', 'apa2', 'insaya', 'revisi', 'rating', 'ulasannya', 'ya']",udah masuk muter muter udah baharu masuk ndak apa2 insaya revisi rating ulas ya
5,sangat membantu,sangat membantu,membantu,['membantu'],bantu
1,Apk apaan sih masuk tidak bisa Daftar tidak bisa juga 👎,apk apaan sih masuk tidak bisa daftar tidak bisa juga ,apk sih masuk daftar,"['apk', 'sih', 'masuk', 'daftar']",apk sih masuk daftar
5,Sangat membantu buat cari info loker,sangat membantu buat cari info loker,membantu cari info loker,"['membantu', 'cari', 'info', 'loker']",bantu cari info loker
1,Ngeri banyak job yg abal2 ;((,ngeri banyak job yg abal2 ,ngeri job yg abal2,"['ngeri', 'job', 'yg', 'abal2']",ngeri job yg abal2
1,"Kasih bintang 1 dulu, soal nya gak bisa masuk apk jadi kelewat deh lowongan pekerjaan yang di impikan",kasih bintang 1 dulu soal nya gak bisa masuk apk jadi kelewat deh lowongan pekerjaan yang di impikan,kasih bintang 1 nya gak masuk apk kelewat deh lowongan pekerjaan impikan,"['kasih', 'bintang', '1', 'nya', 'gak', 'masuk', 'apk', 'kelewat', 'deh', 'lowongan', 'pekerjaan', 'impikan']",kasih bintang 1 nya gak masuk apk lewat deh lowong kerja impi
1,Mengecewakan,mengecewakan,mengecewakan,['mengecewakan'],kecewa
5,Sangat membantu kami dan perusahaan terhadap kriteria calon staff dan eprusahaan yang dituju,sangat membantu kami dan perusahaan terhadap kriteria calon staff dan eprusahaan yang dituju,membantu perusahaan kriteria calon staff eprusahaan dituju,"['membantu', 'perusahaan', 'kriteria', 'calon', 'staff', 'eprusahaan', 'dituju']",bantu usaha kriteria calon staff eprusahaan tuju
3,3 bintang dulu ya baru mencoba semoga dengan aplikasi ini saya bisa segera dapat kerja,3 bintang dulu ya baru mencoba semoga dengan aplikasi ini saya bisa segera dapat kerja,3 bintang ya mencoba semoga aplikasi kerja,"['3', 'bintang', 'ya', 'mencoba', 'semoga', 'aplikasi', 'kerja']",3 bintang ya coba moga aplikasi kerja
5,Ok,ok,ok,['ok'],ok
5,Good,good,good,['good'],good
5,alhamdulillah,alhamdulillah,alhamdulillah,['alhamdulillah'],alhamdulillah
1,saya sudah upgrade google chrome masih saja ndak bisa masuk berkali2..???,saya sudah upgrade google chrome masih saja ndak bisa masuk berkali2,upgrade google chrome ndak masuk berkali2,"['upgrade', 'google', 'chrome', 'ndak', 'masuk', 'berkali2']",upgrade google chrome ndak masuk berkali2
1,"Kenapa si jobstreet sekarang malah nyulitin?? Aplikasi ga danta bangat masa tampilannya sekarang begini. Mau nglamar kerja aja kudu login lagi, keluar aplikasi kudu login lagi. Bikin susah doang",kenapa si jobstreet sekarang malah nyulitin aplikasi ga danta bangat masa tampilannya sekarang begini mau nglamar kerja aja kudu login lagi keluar aplikasi kudu login lagi bikin susah doang,si jobstreet nyulitin aplikasi ga danta bangat tampilannya nglamar kerja aja kudu login aplikasi kudu login bikin susah doang,"['si', 'jobstreet', 'nyulitin', 'aplikasi', 'ga', 'danta', 'bangat', 'tampilannya', 'nglamar', 'kerja', 'aja', 'kudu', 'login', 'aplikasi', 'kudu', 'login', 'bikin', 'susah', 'doang']",si jobstreet nyulitin aplikasi ga danta bangat tampil nglamar kerja aja kudu login aplikasi kudu login bikin susah doang
3,"Awal-awal aplikasinya berjalan baik, tapi setelah beberapa bulan penggunaan ko setiap mau masuk harus masukkin email lagi dan nyampe sekarang belum bisa masuk lagi ke apk jobstreet. Huhuuu development tolong bantu permasalahan inii",awalawal aplikasinya berjalan baik tapi setelah beberapa bulan penggunaan ko setiap mau masuk harus masukkin email lagi dan nyampe sekarang belum bisa masuk lagi ke apk jobstreet huhuuu development tolong bantu permasalahan inii,awalawal aplikasinya berjalan penggunaan ko masuk masukkin email nyampe masuk apk jobstreet huhuuu development tolong bantu permasalahan inii,"['awalawal', 'aplikasinya', 'berjalan', 'penggunaan', 'ko', 'masuk', 'masukkin', 'email', 'nyampe', 'masuk', 'apk', 'jobstreet', 'huhuuu', 'development', 'tolong', 'bantu', 'permasalahan', 'inii']",awalawal aplikasi jalan guna ko masuk masukkin email nyampe masuk apk jobstreet huhuuu development tolong bantu masalah ini
1,"Jobstreet tolong diperbaiki lagi, banyak penyalahgunaan iming menghubungi tawaran loker kerja, setelah dicek nomor yg merekrut admin judi slot",jobstreet tolong diperbaiki lagi banyak penyalahgunaan iming menghubungi tawaran loker kerja setelah dicek nomor yg merekrut admin judi slot,jobstreet tolong diperbaiki penyalahgunaan iming menghubungi tawaran loker kerja dicek nomor yg merekrut admin judi slot,"['jobstreet', 'tolong', 'diperbaiki', 'penyalahgunaan', 'iming', 'menghubungi', 'tawaran', 'loker', 'kerja', 'dicek', 'nomor', 'yg', 'merekrut', 'admin', 'judi', 'slot']",jobstreet tolong baik penyalahgunaan iming hubung tawar loker kerja cek nomor yg rekrut admin judi slot
3,Makin Hari makin Berat aja nih apk pas dibuka/cari info loker,makin hari makin berat aja nih apk pas dibukacari info loker,berat aja nih apk pas dibukacari info loker,"['berat', 'aja', 'nih', 'apk', 'pas', 'dibukacari', 'info', 'loker']",berat aja nih apk pas dibukacari info loker
1,aplikasi lelet login tidak bisa masuk masuk,aplikasi lelet login tidak bisa masuk masuk,aplikasi lelet login masuk masuk,"['aplikasi', 'lelet', 'login', 'masuk', 'masuk']",aplikasi lelet login masuk masuk
3,Ga bisa login,ga bisa login,ga login,"['ga', 'login']",ga login
1,Gak bisa login2 padahal sudah isi kode Verifikasi. Eek lah nih aplikasi,gak bisa login2 padahal sudah isi kode verifikasi eek lah nih aplikasi,gak login2 isi kode verifikasi eek nih aplikasi,"['gak', 'login2', 'isi', 'kode', 'verifikasi', 'eek', 'nih', 'aplikasi']",gak login2 isi kode verifikasi eek nih aplikasi
5,Aplikasi untuk jobseeker mudah untuk mencari pekerjaan dan aman terpercaya.,aplikasi untuk jobseeker mudah untuk mencari pekerjaan dan aman terpercaya,aplikasi jobseeker mudah mencari pekerjaan aman terpercaya,"['aplikasi', 'jobseeker', 'mudah', 'mencari', 'pekerjaan', 'aman', 'terpercaya']",aplikasi jobseeker mudah cari kerja aman percaya
5,❤,,,[],
2,Kenapa jobstreet sekarang gak bisa login2 ya??,kenapa jobstreet sekarang gak bisa login2 ya,jobstreet gak login2 ya,"['jobstreet', 'gak', 'login2', 'ya']",jobstreet gak login2 ya
3,"Setelah di berubah jadi Jobstreet by SEEK, ketika pencarian berdasarkan Wilayah, misalnya Cikupa, eh yang muncul malah Jakarta, Serang. Ini bikin ribet pencarian. Tolong di benahi",setelah di berubah jadi jobstreet by seek ketika pencarian berdasarkan wilayah misalnya cikupa eh yang muncul malah jakarta serang ini bikin ribet pencarian tolong di benahi,berubah jobstreet by seek pencarian berdasarkan wilayah cikupa eh muncul jakarta serang bikin ribet pencarian tolong benahi,"['berubah', 'jobstreet', 'by', 'seek', 'pencarian', 'berdasarkan', 'wilayah', 'cikupa', 'eh', 'muncul', 'jakarta', 'serang', 'bikin', 'ribet', 'pencarian', 'tolong', 'benahi']",ubah jobstreet by seek cari dasar wilayah cikupa eh muncul jakarta serang bikin ribet cari tolong benah
5,"Alhamdulillah, berkat aplikasi jobstreet, awal saya keterima kerja dan meniti karir, walaupun 10% dri bidang. tpi masih sesuai dng jurusan, dan sekarang sdh permanent disalah satu perusahaan, terbesar. 🙏😊",alhamdulillah berkat aplikasi jobstreet awal saya keterima kerja dan meniti karir walaupun 10 dri bidang tpi masih sesuai dng jurusan dan sekarang sdh permanent disalah satu perusahaan terbesar ,alhamdulillah berkat aplikasi jobstreet keterima kerja meniti karir 10 dri bidang tpi sesuai dng jurusan sdh permanent disalah perusahaan terbesar,"['alhamdulillah', 'berkat', 'aplikasi', 'jobstreet', 'keterima', 'kerja', 'meniti', 'karir', '10', 'dri', 'bidang', 'tpi', 'sesuai', 'dng', 'jurusan', 'sdh', 'permanent', 'disalah', 'perusahaan', 'terbesar']",alhamdulillah berkat aplikasi jobstreet terima kerja titi karir 10 dri bidang tpi sesuai dng jurus sdh permanent salah usaha besar
5,Bagus sekali,bagus sekali,bagus,['bagus'],bagus
4,Sering trouble ... Dibuka bermasalah... Semoga kedepannya lancar terus,sering trouble  dibuka bermasalah semoga kedepannya lancar terus,trouble dibuka bermasalah semoga kedepannya lancar,"['trouble', 'dibuka', 'bermasalah', 'semoga', 'kedepannya', 'lancar']",trouble buka masalah moga depan lancar
1,"Jobstreet Ini bahaya bener cok, banyak perusahaan bodong. mana nyepam lagi, kalian hati² ya. Buat developernya, tolong diseleksi lagi perusahaan goib dan yang bener. Min, saya gtau ini perusahaan mana soalnya, tapi dia tau nomer HP saya dari jobstreet, dan alhasil jatohnya nyepam.",jobstreet ini bahaya bener cok banyak perusahaan bodong mana nyepam lagi kalian hati ya buat developernya tolong diseleksi lagi perusahaan goib dan yang bener min saya gtau ini perusahaan mana soalnya tapi dia tau nomer hp saya dari jobstreet dan alhasil jatohnya nyepam,jobstreet bahaya bener cok perusahaan bodong nyepam hati ya developernya tolong diseleksi perusahaan goib bener min gtau perusahaan tau nomer hp jobstreet alhasil jatohnya nyepam,"['jobstreet', 'bahaya', 'bener', 'cok', 'perusahaan', 'bodong', 'nyepam', 'hati', 'ya', 'developernya', 'tolong', 'diseleksi', 'perusahaan', 'goib', 'bener', 'min', 'gtau', 'perusahaan', 'tau', 'nomer', 'hp', 'jobstreet', 'alhasil', 'jatohnya', 'nyepam']",jobstreet bahaya bener cok usaha bodong nyepam hati ya developer tolong seleksi usaha goib bener min gtau usaha tau nomer hp jobstreet alhasil jatohnya nyepam
4,Lebih bagus nya lagi kalo bisa chat langsung admin nya seperti olx,lebih bagus nya lagi kalo bisa chat langsung admin nya seperti olx,bagus nya kalo chat langsung admin nya olx,"['bagus', 'nya', 'kalo', 'chat', 'langsung', 'admin', 'nya', 'olx']",bagus nya kalo chat langsung admin nya olx
